Content ID,User ID,Reaction Type,Datetime,Category,Content Type,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,2021-01-06 19:13:01,studying,photo,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,34e8add9-0206-47fd-a501-037b994650a2,scared,2021-02-11 04:53:56,healthy eating,photo,negative,15
81abd65a-3b76-4574-a0a7-db6bf7184ae2,34e8add9-0206-47fd-a501-037b994650a2,super love,2020-09-28 08:49:01,food,video,positive,75
2920dccb-e06f-49fc-8049-b6d4164dfe84,34e8add9-0206-47fd-a501-037b994650a2,super love,2020-10-07 13:22:10,veganism,GIF,positive,75
74718bbf-e5a3-442f-8ca2-4a3428757fc1,34e8add9-0206-47fd-a501-037b994650a2,peeking,2020-12-07 07:22:43,dogs,video,neutral,35
c01fa154-5348-4040-9d20-0bbf01f6349b,34e8add9-0206-47fd-a501-037b994650a2,heart,2021-05-27 23:09:17,tennis,GIF,positive,60
67f2a150-6086-4cbd-8d21-46250ccef5a2,34e8add9-0206-47fd-a501-037b994650a2,interested,2020-07-10 04:12:10,cooking,GIF,positive,30
2b6921de-e7f2-4e30-8feb-36bd41becaf0,34e8add9-0206-47fd-a501-037b994650a2,hate,2021-03-10 04:34:53,travel,audio,negative,5
e51b00b8-49d4-4909-9f25-8e9a06e28728,34e8add9-0206-47fd-a501-037b994650a2,want,2020-12-12 14:42:43,soccer,video,positive,70
a784c1dd-e2ab-408d-a0c3-226a51d420e1,34e8add9-0206-47fd-a501-037b994650a2,cherish,2020-12-15 13:08:50,technology,audio,positive,70
3a106d1f-3942-49d4-9358-417f33d760c6,34e8add9-0206-47fd-a501-037b994650a2,love,2020-11-12 14:33:58,fitness,photo,positive,65
229d5bad-c1e4-439c-8978-0efdcdfea4d1,34e8add9-0206-47fd-a501-037b994650a2,disgust,2020-12-15 04:40:00,food,audio,negative,0
da8f7258-6757-4a7e-892e-a16b925ef83b,34e8add9-0206-47fd-a501-037b994650a2,like,2020-06-25 00:41:02,cooking,photo,positive,50
9ee8836d-af4b-46ad-8869-4e0b1dedff7d,34e8add9-0206-47fd-a501-037b994650a2,interested,2020-08-18 14:56:25,tennis,audio,positive,30
447954af-c2c0-4546-881c-3ba1cb104209,34e8add9-0206-47fd-a501-037b994650a2,adore,2020-06-30 06:34:26,tennis,audio,positive,72
a412c4fa-42c9-4bd8-a2d7-1ad1dcbe9615,34e8add9-0206-47fd-a501-037b994650a2,dislike,2020-06-23 01:56:09,dogs,video,negative,10
e4fd43f5-c0cb-47cd-bc41-1e07a8081323,34e8add9-0206-47fd-a501-037b994650a2,super love,2021-05-10 13:47:10,soccer,GIF,positive,75
02ba5af1-784a-44cc-ae3a-14833c4a2237,34e8add9-0206-47fd-a501-037b994650a2,love,2021-05-12 05:34:42,healthy eating,video,positive,65
86f4e4df-636a-48f5-bb66-03ea4fd00214,34e8add9-0206-47fd-a501-037b994650a2,cherish,2021-05-14 12:54:25,veganism,photo,positive,70
86f4e4df-636a-48f5-bb66-03ea4fd00214,34e8add9-0206-47fd-a501-037b994650a2,intrigued,2021-03-15 09:39:31,veganism,photo,positive,45
800f467b-53a3-4d20-9342-51fe4fa36ebb,34e8add9-0206-47fd-a501-037b994650a2,intrigued,2021-04-17 12:50:29,food,GIF,positive,45
b8368fca-8fe3-4768-beed-5056cff63c23,34e8add9-0206-47fd-a501-037b994650a2,interested,2021-01-03 00:57:30,technology,audio,positive,30
d288a4cb-6361-4d4b-925f-a0bf2e3350ec,34e8add9-0206-47fd-a501-037b994650a2,super love,2020-11-25 00:39:24,technology,GIF,positive,75
83d08b29-6cdc-436c-89a6-20c3d60f7e73,34e8add9-0206-47fd-a501-037b994650a2,disgust,2021-03-08 11:59:23,soccer,GIF,negative,0
674507f9-c555-4876-89c7-c06b6db561c0,34e8add9-0206-47fd-a501-037b994650a2,cherish,2021-05-24 17:09:46,animals,audio,positive,70
6fd589e8-53ab-4345-896a-f428a92fcbe6,34e8add9-0206-47fd-a501-037b994650a2,heart,2020-11-19 01:39:42,education,video,positive,60
12a7140a-6fe7-41e2-b2b4-75d913fcca1e,34e8add9-0206-47fd-a501-037b994650a2,cherish,2020-07-29 14:02:28,studying,GIF,positive,70
2d7084fb-b457-4813-829f-73911025eeaa,34e8add9-0206-47fd-a501-037b994650a2,indifferent,2021-06-15 23:54:03,cooking,GIF,neutral,20
bc604b62-adbc-4c93-a2ae-602160714d1c,34e8add9-0206-47fd-a501-037b994650a2,adore,2020-12-09 06:56:18,cooking,photo,positive,72
088e2e43-61a8-475f-a3e6-061f626b0f16,34e8add9-0206-47fd-a501-037b994650a2,like,2020-12-11 00:36:48,veganism,photo,positive,50
ec6c41c9-509e-43ff-83bb-0e5202b8e62a,34e8add9-0206-47fd-a501-037b994650a2,disgust,2020-12-14 14:10:02,education,audio,negative,0
df2214cb-61f3-4744-86a8-7c01e501bc27,34e8add9-0206-47fd-a501-037b994650a2,worried,2021-04-07 09:38:43,cooking,audio,negative,12
4dd4da35-453e-466d-95ca-b1a7710fac1f,34e8add9-0206-47fd-a501-037b994650a2,disgust,2020-07-19 06:36:28,technology,GIF,negative,0
1dbed432-50e6-4955-9ac8-798fb60b2f0e,34e8add9-0206-47fd-a501-037b994650a2,like,2020-06-30 19:36:02,science,video,positive,50
6519b8ec-1253-4f91-8abb-3c5a04eccd2b,34e8add9-0206-47fd-a501-037b994650a2,hate,2021-01-11 14:58:01,animals,photo,negative,5
5fefd228-c550-4023-b767-ec8aa62de850,34e8add9-0206-47fd-a501-037b994650a2,interested,2020-09-23 01:18:03,cooking,video,positive,30
2669dbfc-65d4-4770-a916-e6507f881131,34e8add9-0206-47fd-a501-037b994650a2,scared,2020-10-21 17:32:30,science,photo,negative,15
25c8f882-464d-4465-9ed2-e7f7706c1775,34e8add9-0206-47fd-a501-037b994650a2,hate,2021-06-13 08:58:09,healthy eating,audio,negative,5
4789b064-7b3c-4339-bf15-b9e38222930c,34e8add9-0206-47fd-a501-037b994650a2,love,2021-06-04 01:17:29,education,photo,positive,65
edea43f3-1541-4e42-8419-d1cdf749025c,34e8add9-0206-47fd-a501-037b994650a2,disgust,2021-05-09 16:21:34,cooking,photo,negative,0
8644e163-704a-4a99-a859-5e07fcfe3879,34e8add9-0206-47fd-a501-037b994650a2,like,2021-02-14 15:25:58,education,photo,positive,50
f3e9785c-d4e0-4258-a876-4d58ddb38790,34e8add9-0206-47fd-a501-037b994650a2,worried,2021-04-13 10:19:00,studying,GIF,negative,12
88d65e30-7ca0-4f32-a020-45c4cb3d9632,34e8add9-0206-47fd-a501-037b994650a2,peeking,2021-05-07 03:04:45,travel,audio,neutral,35
2b7f2d2b-2a0b-4d33-ada9-ee9629742dff,34e8add9-0206-47fd-a501-037b994650a2,scared,2021-06-11 04:27:39,healthy eating,photo,negative,15
2b7f2d2b-2a0b-4d33-ada9-ee9629742dff,34e8add9-0206-47fd-a501-037b994650a2,cherish,2020-11-04 12:06:09,healthy eating,photo,positive,70
6380e982-07ac-4d21-bd23-cec0bcfa1ff9,34e8add9-0206-47fd-a501-037b994650a2,cherish,2021-04-15 12:28:22,soccer,photo,positive,70
6ef45d36-cd14-428c-b5cf-ad2f06371c6e,34e8add9-0206-47fd-a501-037b994650a2,super love,2021-03-06 19:03:47,cooking,GIF,positive,75
915505a1-6d75-4894-8200-0f088c19431b,34e8add9-0206-47fd-a501-037b994650a2,indifferent,2020-07-15 21:16:08,cooking,video,neutral,20
28fbf4cf-c354-418c-8672-b7f2fee75b00,34e8add9-0206-47fd-a501-037b994650a2,love,2020-08-18 01:16:37,culture,photo,positive,65
b014a42b-c469-4c26-b4aa-256f4d3d5072,34e8add9-0206-47fd-a501-037b994650a2,hate,2020-08-27 15:55:14,culture,GIF,negative,5
80bf3ac3-e94e-44cf-81ef-345a8326802c,34e8add9-0206-47fd-a501-037b994650a2,like,2021-04-10 07:13:02,veganism,photo,positive,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,2021-04-09 02:46:20,studying,photo,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,super love,2020-10-21 09:07:21,dogs,video,positive,75
841403fd-321b-4118-90b3-cc0075d64047,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,intrigued,2020-09-22 00:32:23,studying,GIF,positive,45
af7971aa-5fd5-41d3-b6c3-583704a705a2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,scared,2020-11-17 14:31:52,healthy eating,video,negative,15
72822fb8-8a40-4cf1-a86a-42140b3bf9f3,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,dislike,2021-05-09 07:11:09,travel,photo,negative,10
62681a6c-fe82-4186-ba7d-0805ae5b95ed,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,want,2020-08-25 13:51:29,veganism,audio,positive,70
67f2a150-6086-4cbd-8d21-46250ccef5a2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,hate,2021-04-01 02:03:45,cooking,GIF,negative,5
433607b3-eeb4-48b8-9263-9805c1b89d55,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,heart,2020-10-13 02:49:21,education,video,positive,60
b6c24086-becf-4615-801e-c3c298a8d4e2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,hate,2020-09-01 23:00:39,travel,photo,negative,5
b56a9e24-d0f2-4599-b893-c2889a15e1d6,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,2020-07-21 02:54:53,veganism,video,negative,0
6e418568-a2b9-4d08-b241-06362c96a7f1,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,scared,2020-09-25 08:47:04,food,video,negative,15
2c0e1f1e-1af8-45b6-b8f2-9714358dd2ad,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,super love,2021-02-20 11:51:27,travel,audio,positive,75
80d4bec9-6441-41a2-be74-0eec3e5317ef,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,adore,2020-07-20 08:46:19,tennis,video,positive,72
8ef185a2-8910-41f5-a109-95c925ebffa0,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,peeking,2020-12-19 10:36:57,public speaking,photo,neutral,35
59bb59ce-776b-4d28-85ee-c0d71c690b6a,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,super love,2020-08-27 17:38:23,animals,audio,positive,75
35489ad9-c3b5-4fcd-a6c0-9f2c667c55a8,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,dislike,2021-02-04 06:22:44,studying,photo,negative,10
ac120787-f331-497f-8733-7cd63dfd36b6,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,2020-09-24 19:49:02,culture,GIF,negative,0
4e659bd8-44b6-41a3-893c-c528474a29c9,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,worried,2021-02-25 19:23:58,education,video,negative,12
54acd843-1e09-4b30-a80a-b9e0295ff269,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,2020-09-07 04:23:45,tennis,GIF,negative,0
